Site_ID,Sample_ID,Data_Source,Latitude_Degrees,Longitude_Degrees,Ocean_Name,Realm_Name,Distance_to_Shore,Exposure,Turbidity,Cyclone_Frequency,Date_Day,Date_Month,Date_Year,Depth_m,Substrate_Name,Percent_Cover,Bleaching_Level,Percent_Bleaching,ClimSST,Temperature_Kelvin,Temperature_Mean,Temperature_Minimum,Temperature_Maximum,Temperature_Kelvin_Standard_Deviation,Windspeed,SSTA,SSTA_Standard_Deviation,SSTA_Mean,SSTA_Minimum,SSTA_Maximum,SSTA_Frequency,SSTA_Frequency_Standard_Deviation,SSTA_FrequencyMax,SSTA_FrequencyMean,SSTA_DHW,SSTA_DHW_Standard_Deviation,SSTA_DHWMax,SSTA_DHWMean,TSA,TSA_Standard_Deviation,TSA_Minimum,TSA_Maximum,TSA_Mean,TSA_Frequency,TSA_Frequency_Standard_Deviation,TSA_FrequencyMax,TSA_FrequencyMean,TSA_DHW,TSA_DHW_Standard_Deviation,TSA_DHWMax,TSA_DHWMean
166,10315089,Reef_Check,-28.1625,153.5311,Pacific,Temperate Australasia,407.22,Exposed,0.0935,44.56,19,4,2016,4.0,Hard Coral,0.0,Population,0.0,295.64,298.19,296.26,291.42,301.77,2.2,3.0,0.38,0.76,0.0,-2.79,2.98,15.0,4.22,18.0,4.0,9.42,2.18,12.48,1.49,-0.99,2.2,-7.75,2.58,-2.91,3.0,1.35,6.0,1.0,4.05,1.07,8.01,0.34
166,10315089,Reef_Check,-28.1625,153.5311,Pacific,Temperate Australasia,407.22,Exposed,0.0935,44.56,19,4,2016,4.0,Nutrient Indicator Algae,6.25,Population,0.0,295.64,298.19,296.26,291.42,301.77,2.2,3.0,0.38,0.76,0.0,-2.79,2.98,15.0,4.22,18.0,4.0,9.42,2.18,12.48,1.49,-0.99,2.2,-7.75,2.58,-2.91,3.0,1.35,6.0,1.0,4.05,1.07,8.01,0.34
204,10315059,Reef_Check,-27.4007,153.4373,Pacific,Temperate Australasia,19.72,Sheltered,0.263,47.27,12,3,2016,6.0,Hard Coral,0.0,Population,0.0,296.89,300.04,296.31,290.3,302.48,2.55,7.0,1.04,1.01,0.0,-3.27,3.9,16.0,4.89,24.0,8.0,1.39,3.28,17.93,2.88,0.38,2.55,-9.35,2.81,-3.34,1.0,1.84,7.0,1.0,1.26,1.64,10.84,0.6
204,10315059,Reef_Check,-27.4007,153.4373,Pacific,Temperate Australasia,19.72,Sheltered,0.263,47.27,12,3,2016,6.0,Nutrient Indicator Algae,0.0,Population,0.0,296.89,300.04,296.31,290.3,302.48,2.55,7.0,1.04,1.01,0.0,-3.27,3.9,16.0,4.89,24.0,8.0,1.39,3.28,17.93,2.88,0.38,2.55,-9.35,2.81,-3.34,1.0,1.84,7.0,1.0,1.26,1.64,10.84,0.6
1901,10309773,Reef_Check,4.8456,114.329,Pacific,Central Indo-Pacific,23301.79,Exposed,0.1498,53.15,17,5,2016,12.0,Hard Coral,28.12,Population,0.0,303.82,304.83,302.5,296.98,306.06,1.46,2.0,1.09,0.96,0.0,-3.74,3.47,17.0,4.82,24.0,7.0,5.83,3.03,18.42,2.48,0.85,1.46,-7.0,2.07,-1.47,4.0,1.17,5.0,1.0,1.03,0.91,8.09,0.32
1901,10309773,Reef_Check,4.8456,114.329,Pacific,Central Indo-Pacific,23301.79,Exposed,0.1498,53.15,17,5,2016,12.0,Nutrient Indicator Algae,26.88,Population,0.0,303.82,304.83,302.5,296.98,306.06,1.46,2.0,1.09,0.96,0.0,-3.74,3.47,17.0,4.82,24.0,7.0,5.83,3.03,18.42,2.48,0.85,1.46,-7.0,2.07,-1.47,4.0,1.17,5.0,1.0,1.03,0.91,8.09,0.32
1903,10309978,Reef_Check,4.905,114.6463,Pacific,Central Indo-Pacific,7655.82,Exposed,0.2607,53.22,19,5,2016,6.0,Hard Coral,21.88,Population,0.0,303.89,302.52,302.66,297.75,305.95,1.4,2.0,-1.42,0.92,0.0,-3.7,2.92,8.0,4.27,21.0,6.0,3.44,2.82,24.26,2.2,-1.58,1.4,-6.34,1.84,-1.43,1.0,1.08,6.0,0.0,0.0,0.68,5.71,0.19
1903,10309978,Reef_Check,4.905,114.6463,Pacific,Central Indo-Pacific,7655.82,Exposed,0.2607,53.22,19,5,2016,6.0,Nutrient Indicator Algae,5.62,Population,0.0,303.89,302.52,302.66,297.75,305.95,1.4,2.0,-1.42,0.92,0.0,-3.7,2.92,8.0,4.27,21.0,6.0,3.44,2.82,24.26,2.2,-1.58,1.4,-6.34,1.84,-1.43,1.0,1.08,6.0,0.0,0.0,0.68,5.71,0.19
1904,10309976,Reef_Check,4.9055,114.6449,Pacific,Central Indo-Pacific,7859.61,Exposed,0.2607,53.22,19,5,2016,8.0,Hard Coral,18.12,Population,0.0,303.89,302.52,302.66,297.75,305.95,1.4,2.0,-1.42,0.92,0.0,-3.7,2.92,8.0,4.27,21.0,6.0,3.44,2.82,24.26,2.2,-1.58,1.4,-6.34,1.84,-1.43,1.0,1.08,6.0,0.0,0.0,0.68,5.71,0.19
1904,10309976,Reef_Check,4.9055,114.6449,Pacific,Central Indo-Pacific,7859.61,Exposed,0.2607,53.22,19,5,2016,8.0,Nutrient Indicator Algae,10.0,Population,0.0,303.89,302.52,302.66,297.75,305.95,1.4,2.0,-1.42,0.92,0.0,-3.7,2.92,8.0,4.27,21.0,6.0,3.44,2.82,24.26,2.2,-1.58,1.4,-6.34,1.84,-1.43,1.0,1.08,6.0,0.0,0.0,0.68,5.71,0.19
